Year,Overall Homelessness,Overall Veterans,Sheltered Total Homeless,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Unsheltered Homeless,Total Beds count over median,PIT count over median,Sum of all McKinney Funding,Sum of all Federal Funding,Sum of all Funding,YRB count over median,Not_Specified,Single,Scattered,Multiple,Site_Based_Single_Site,Site_Based_Multiple_Sites,Tenant_Based_Scattered_Site,C,N,U,ES,OPH,PSH,RRH,SH,TH,Sheltered Total Homeless - White,"Sheltered Total Homeless - Black, African American, or African",Sheltered Total Homeless - Asian or Asian American,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander,Sheltered Total Homeless - Multiple Races,ES Beds,TH Beds,SH Beds,RRH Beds,PSH Beds,OPH Beds
2013,8879,1486,4305,798,688,234,2297,4574,85,89,104,0,104,91,203,0,0,0,0,0,0,175,21,7,36,0,63,0,4,100,2741,1137,70,104,104,165,4090,1652,59,2527,6469,2537
2014,8506,1307,4521,790,517,238,1007,3985,100,101,94,0,94,96,211,0,0,0,0,0,0,187,19,5,37,5,61,3,3,102,2691,1044,91,80,46,191,3816,1622,35,2116,6319,1027
2015,8742,1381,4586,750,631,340,1349,4156,101,97,91,0,91,99,219,0,0,0,0,0,0,178,40,1,41,5,59,11,3,100,2242,1083,62,61,35,184,2424,1700,53,1846,4901,939
2016,8669,1156,3729,584,572,309,1108,4940,104,100,94,29,103,107,216,0,0,0,0,0,0,180,35,1,40,5,62,17,3,89,2277,939,89,69,34,218,1986,1873,71,1525,4177,842
2017,9160,1067,3539,613,454,389,1787,5621,116,97,73,28,93,116,0,115,40,65,0,0,0,148,65,7,41,21,62,23,3,70,2331,909,46,51,30,219,2050,1818,91,1372,4403,857
2018,8576,1312,3586,653,659,771,1400,4990,114,118,1,60,58,116,0,0,0,0,106,33,82,153,59,9,35,23,65,41,4,53,2295,876,56,64,40,208,1337,2343,42,706,3882,814
2019,8102,1068,3626,644,424,747,965,4476,108,117,0,0,0,109,0,0,0,0,106,27,67,187,0,13,37,19,59,33,6,46,2478,909,62,60,57,163,1312,3065,57,579,3709,329
2020,7638,940,3667,623,317,854,665,3971,120,143,0,1,1,123,0,0,0,0,141,17,89,221,0,26,61,23,66,42,3,52,3038,1132,69,91,80,176,763,3783,59,158,3196,305
2021,8032.5,813,4143,465.5,347.5,818,648.5,4038.5,131,129,12,0,12,134,0,0,0,0,166,15,94,259,0,16,61,35,84,44,4,47,,,,,,,524,3948,59,39,2914,382
2022,8427,686,4321,308,378,782,632,4106,140,138,0,0,0,145,308,0,0,0,0,0,0,298,0,10,69,56,80,48,4,51,,,,,,,412,3801,59,0,2503,
